"Date","Year","Quarter","FY","QFY","Month","ODCS_NFA","ODCS_CNR","ODCS_CNR_FX","ODCS_CNR_DP","ODCS_CNR_LN","ODCS_LNR","ODCS_LNR_DP","ODCS_LNR_LN","ODCS_NDA","ODCS_DCL","ODCS_DCL_NCCG","ODCS_DCL_CCG","ODCS_DCL_LCG","ODCS_DCL_COS","ODCS_DCL_COS_OFC","ODCS_DCL_COS_SLG","ODCS_DCL_COS_PNFC","ODCS_DCL_COS_PRV","ODCS_DCL_COS_PRV_LN","ODCS_CCB","ODCS_CCB_CUR","ODCS_CCB_RD","ODCS_CCB_OTH","ODCS_LCB","ODCS_OIN","ODCS_OIN_SOE","ODCS_OIN_OIN","ODCS_DLP","ODCS_DLP_M3","ODCS_DLP_M3_FXD","ODCS_DLP_M3_LCD","ODCS_DLP_M3_LCD_TRF","ODCS_DLP_M3_LCD_OTH","ODCS_DLP_NM3"
2001-12-01,2001,"Q4","2001/02","Q2","December",345.4400214,429.433586,10.955248,418.478338,0,83.9935646,26.419828,57.5737366,917.9598716,1062.661334,360.149939,588.531834,228.381895,702.511395,13.942204,2.482588,4.228946,681.857657,681.857657,254.342436,51.081528,182.704628,20.55628,155.704557335,-243.339341065,228.024772,-15.314569065,1263.399893,1263.399893,336.186833,927.21306,519.132459,408.080601,0
2002-01-01,2002,"Q1","2001/02","Q3","January",375.5298304,451.761032,13.610081,438.150951,0,76.2312016,19.826067,56.4051346,918.4388296,1077.516044,370.137259,604.171263,234.034004,707.378785,20.266198,2.627234,3.009004,681.476349,678.476349,240.816969,39.639758,200.620931,0.55628,155.206933335,-244.687250065,248.657794,3.970543935,1293.96866,1293.96866,350.299734,943.668926,548.527525,395.141401,0
2002-02-01,2002,"Q1","2001/02","Q3","February",378.5802244,460.040082,22.031985,438.008097,0,81.4598576,21.761211,59.6986466,977.747835599999,1069.338439,372.001225,607.729501,235.728276,697.337214,18.232118,2.450963,2.376263,674.27787,671.27787,295.046708,33.352929,238.933499,22.76028,155.437594335,-231.199717065001,265.313304,34.113586934999,1356.32806,1356.32806,362.538844,993.789216,592.042009,401.747207,0
2002-03-01,2002,"Q1","2001/02","Q3","March",378.6008914,463.877655,10.739751,453.137904,0,85.2767636,20.057851,65.2189126,989.195635765,1077.555692,408.098325,632.880592,224.782267,669.457367,18.065322,2.205312,2.877053,646.30968,643.42968,256.868783,30.7851,218.927403,7.15628,127.379544335,-217.8492949,267.037863,49.1885681,1367.796532,1367.796532,367.136597,1000.659935,588.439883,412.220052,0
2002-04-01,2002,"Q2","2001/02","Q4","April",437.8896434,507.017304,9.646501,497.370803,0,69.1276606,17.964699,51.1629616,978.070059765,1052.489024,394.867296,629.304048,234.436752,657.621728,17.87406,0.958946,2.799604,635.989118,633.109118,296.51847,36.774816,216.987374,42.75628,128.908616335,-242.0288179,275.372143,33.3433251,1415.95971,1415.95971,399.220196,1016.739514,591.303433,425.436081,0
2002-05-01,2002,"Q2","2001/02","Q4","May",417.4351244,504.250247,12.438982,491.811265,0,86.8151226,24.882049,61.9330736,1052.5101266,1124.335903,391.810322,655.811166,264.000844,732.525581,18.007237,1.185732,1.917917,711.414695,708.534695,315.639793,37.741494,239.842019,38.05628,166.439006335,-221.026563065,278.625277,57.598713935,1469.945251,1469.945251,405.784535,1064.160716,628.490569,435.670147,0
2002-06-01,2002,"Q2","2001/02","Q4","June",472.4203294,551.103847,13.364771,537.739076,0,78.6835176,24.326383,54.3571346,1055.8476866,1204.068801,454.269765,723.859088,269.589323,749.799036,27.05446,1.18798,2.861624,718.694972,716.069972,260.855531,40.716567,188.482684,31.65628,155.008140335,-254.068505065001,266.366963,12.298457934999,1528.267918,1528.267918,444.895408,1083.37251,617.493614,465.878896,0
2002-07-01,2002,"Q3","2002/03","Q1","July",468.47016,534.701972,11.805431,522.896541,0,66.231812,27.038457,39.193355,1087.290072,1286.172709,505.835236,748.323502,242.488266,780.337473,54.448753,0.84544,2.509373,722.533907,719.908907,242.869536,43.363028,165.550228,33.95628,155.065637335,-286.686535664999,271.193224,-15.493311664999,1555.760232,1555.760232,440.042139,1115.718093,645.082035,470.636058,0
2002-08-01,2002,"Q3","2002/03","Q1","August",452.260894,512.85063,13.994666,498.855964,0,60.589736,24.416382,36.173354,1073.467374,1297.662721,503.90306,750.33003,246.42697,793.759661,57.471195,1.010638,2.446372,732.831456,730.206456,252.277292,39.348807,201.872205,11.05628,160.207178335,-316.265460665,277.50464,-38.7608206650001,1525.728268,1525.728268,430.788387,1094.939881,616.545153,478.394728,0
2002-09-01,2002,"Q3","2002/03","Q1","September",440.3176844,500.257697,15.025922,485.231775,0,59.9400126,22.821173,37.1188396,1101.2179096,1296.042258,536.611142,780.642774,244.031632,759.431116,19.524281,0.911653,2.850263,736.144919,733.639919,229.666033,49.62613,153.183623,26.85628,161.793732335,-262.696649065,260.940341,-1.75630806499998,1541.535594,1541.535594,431.497264,1110.03833,629.968642,480.069688,0
